话题,用户链接,用户名,博文链接,发博时间,发博IP,博文内容,点赞数,评论数,转发数,用户性别,用户粉丝数,用户身份认证
21岁重庆男子跳江,https://weibo.com/1746575865?refer_flag=1001030103_,互联网俊明说,https://weibo.com/1746575865/Ocqei5KYM?refer_flag=1001030103_,Thu May 02 15:36:15 +0800 2024,发布于 瑞典,#21岁重庆男子跳江#这女的与职业诈骗犯有什么区别？建议男方家属，请请最牛的律师，争取把她送进去。男方的死亡与她有直接关系，千万不要放过她。放过她，又会去坑害下一个男生。​,1244,366,125,m,6010121,互联网媒体人 微博2021十大影响力互联网科技大V
21岁重庆男子跳江,https://weibo.com/2095858834?refer_flag=1001030103_,兔撕鸡大老爷,https://weibo.com/2095858834/Ocwml3qrC?refer_flag=1001030103_,Fri May 03 07:12:33 +0800 2024,发布于 江苏,#21岁重庆男子跳江##谭竹回应#全网网友们给这位游戏里的通天代、现实里的纯爱点了一桥的美食，昨晚重庆长江大桥旁的商家都爆单了…​,6169,200,101,m,1958792,2023微博年度新知博主 互联网科技博主
21岁重庆男子跳江,https://weibo.com/1463707815?refer_flag=1001030103_,作家陈岚,https://weibo.com/1463707815/Ocq1e2vLY?refer_flag=1001030103_,Thu May 02 15:04:03 +0800 2024,发布于 上海,#21岁重庆男子跳江#省流，这个热搜话题大意：21岁男子为游戏代练，省吃俭用给女友转账达51万，愿意当上门女婿。仍然被分手。自杀前给女友大额转账6.6万，还注明“自愿赠予”。依然未获回应。遂跳江。据热搜中的网友发布说：尸体尚未寻获。女方已经开始发抖音小视频……其实现在女生都有常识了，​展开c,5385,797,342,f,1599168,作家陈岚，代表作《背后》  2022年辰星计划博主
21岁重庆男子跳江,https://weibo.com/3895107933?refer_flag=1001030103_,鹏程蛇口,https://weibo.com/3895107933/Ocqunf4l3?refer_flag=1001030103_,Thu May 02 16:15:51 +0800 2024,发布于 印度尼西亚,#21岁重庆男子跳江#为了省6毛钱退款重新下单。而两年半给了女生51万，如此卑微，何必呢？无论男孩还是女孩，都要尊重自己的生命，你是为自己活着。​,871,1,40,m,1140218,房产专家 房产博主 头条文章作者
21岁重庆男子跳江,https://weibo.com/2580225544?refer_flag=1001030103_,种花守护神,https://weibo.com/2580225544/Ocq304xw6?refer_flag=1001030103_,Thu May 02 15:08:26 +0800 2024,发布于 山东,#21岁重庆男子跳江#这个热搜看的我一头雾水。没有媒体报道。自媒体发文语焉不详。于是我就从话题贡献度入手。找到了一个抖音号。自称是其姐姐。发布作品23个。一，无法判断真假。二，如果为真，想要回钱，我觉得还是走法律程序比较好。三，我看抖音评论区有人晒出了女子身份信息，电​展开c,1576,216,14,f,618592,军事博主
21岁重庆男子跳江,https://weibo.com/3089487123?refer_flag=1001030103_,伊利达雷之怒,https://weibo.com/3089487123/Ocu442Pt4?refer_flag=1001030103_,Fri May 03 01:22:02 +0800 2024,发布于 四川,#21岁重庆男子跳江#啊，就算你要girlshelpgirls，他姐姐难道不是girl吗？​,5265,330,86,m,511283,游戏博主 微博原创视频博主
21岁重庆男子跳江,https://weibo.com/6228989666?refer_flag=1001030103_,亩零日记,https://weibo.com/6228989666/OcqFY18lu?refer_flag=1001030103_,Thu May 02 16:44:26 +0800 2024,发布于 湖南,你们去抖音搜可可睡不着，她的21岁弟弟跳河自杀了，因为被渣女pua，两年给渣女花了51万，自己一个人却只点10块钱的拼好饭，从早上刷到现在一直不能释怀，一些举动看到了曾经自己的影子，少年啊来世一定要先爱自己再爱别人。#21岁重庆男子跳江#​,846,83,46,m,305035,
21岁重庆男子跳江,https://weibo.com/1579997553?refer_flag=1001030103_,王春天v,https://weibo.com/1579997553/Ocy1pEEXq?refer_flag=1001030103_,Fri May 03 11:26:30 +0800 2024,发布于 陕西,胖猫已经被女友伤害，悲痛离开这世界，热心网友给胖猫点的外卖，可是重庆解放碑这些不良商家，华莱士空包、茶百道装冰水、牛约堡空包、朱小小螺蛳粉放空盒子，用你们的不良继续伤害一个离去的孩子，这血豆腐也要吃？这个世界会好吗？#华莱士空包##21岁重庆男子跳江##胖猫谭竹#​展开c,665,93,65,m,2144934,作家 诗人 微博原创视频博主 娱乐博主 头条文章作者
21岁重庆男子跳江,https://weibo.com/6059492811?refer_flag=1001030103_,拆台CT,https://weibo.com/6059492811/Ocpwh2yJl?refer_flag=1001030103_,Thu May 02 13:47:48 +0800 2024,发布于 山东,#21岁重庆男子跳江#看了下死者姐姐的DY爆料。如果属实的话，这男的应该是被PUA了。而且，按照包丽案的逻辑，这女的应该被判虐待罪。但是现在嘛，闹得还不够大。先关注下，看看官方怎么说。#胖猫#​专栏·胖猫谭竹事件​,8237,419,453,m,717188,互联网科技博主 2022年辰星计划博主 超话主持人（拆拆的台超话） 微博原创视频博主 头条文章作者
21岁重庆男子跳江,https://weibo.com/1403078180?refer_flag=1001030103_,南风在北京,https://weibo.com/1403078180/OcrGgyzbR?refer_flag=1001030103_,Thu May 02 19:17:55 +0800 2024,发布于 河北,#21岁重庆男子跳江#看了一下大致的内容，男孩子实在是太惨，也太傻了，中国汉族男性从小被系统性的PUA“要有责任，要有担当”，这样的男性很容易被拜金主义的捞女利用、吃干抹尽，直到失去生命。因为没有对等的道德教育，所以一个性别是责任担当，做牛做马，一个性别是个人自由，享乐主义，这样荒诞的​展开c,4118,661,133,m,306705,头条文章作者
